Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (ç¢Œg)
roti,120,25,3,0.4,0.2,2,120,10,0.5,0,10
dal,150,20,9,3,1,4,300,40,2,1,50
rice,130,28,2.5,0.3,0.1,0.5,1,5,0.2,0,5
banana,105,27,1.3,0.3,14,3,1,5,0.3,9,20
paneer,265,6,18,20,2,0,22,480,1.2,0,15
chicken curry,250,8,20,15,2,1,500,30,1.5,2,25
vegetable curry,180,22,4,7,3,5,350,60,2,8,40
idli,58,12,2,0.4,0.1,0.5,1,8,0.2,0,4
sambar,90,15,3,2,2,2,400,20,1,3,18
poha,180,30,3,4,1,2,200,10,1,0,8
